bug_id,module,category,layer,description,trigger_input,expected_outcome,detected_by_test
CLEAN_CODEC,codec,none,L3,No bug — baseline clean build,hi,output=6869,all tests pass
B001_CODEC,codec,logic,L3,"Off-by-one in encode loop: loop runs `i < in_len - 1` instead of `i < in_len`, skipping the last byte. For single-byte inputs in_len-1 underflows (size_t), so the loop never executes and the output is zero-initialized garbage.",A,output_mismatch or empty string,hexEncode(A)=41 / hexEncode(z)=7a / last-byte 1000-char scale test
B001a_CODEC,codec,logic,L3,"Off-by-one variant: loop starts at i=1 instead of i=0, skipping the first byte. First nibble pair is unwritten (left at zero from Wasm heap).",hi,first two hex chars are 00 instead of 68,hexEncode(hi)=6869
B001b_CODEC,codec,logic,L3,"Stride bug: loop increments i+=2 instead of i++, encoding only even-indexed bytes. Odd-indexed bytes are silently left as zero-initialized Wasm heap bytes.",hello,output 68006c006f instead of 68656c6c6f,hexEncode(hello)=68656c6c6f
B002_CODEC,codec,boundary,L3,"Wrong length argument from JS: `str.length` passed to _codec_hex_encode_z instead of `bytes.length`. For pure ASCII inputs these are equal so the bug is silent; for any multi-byte UTF-8 character str.length < bytes.length, causing truncated encoding.",é,output=c3 instead of c3a9,hexEncode(é)=c3a9 / hexEncode(你好)=e4bda0e5a5bd / 4-byte emoji surrogate-pair test
B002a_CODEC,codec,boundary,L3,"Hardcoded in_len=1: JS always passes literal 1 to _codec_hex_encode_z regardless of input size. Only the first byte of any input is encoded. All multi-character inputs are truncated to 2 hex chars.",hello,output=68 (only first byte),hexEncode(hello)=68656c6c6f / 1000-char length test
B003_CODEC,codec,trap,L3,"Output size guard removed from codec.c: `if (out_cap < need)` check is deleted. When a caller passes an undersized buffer the C loop writes past the allocation boundary, causing a Wasm linear-memory out-of-bounds trap surfaced as a pageerror event.",undersized buffer via direct _codec_hex_encode_z call,Wasm trap / pageerror instead of negative error code,undersized-buffer B003 detector / zero-cap B003 detector
B003a_CODEC,codec,trap,L3,"Secondary guard removed from web_api.c: `if (out_cap == 0)` check is deleted. codec.c still guards against insufficient size, so normal usage is unaffected; only callers that explicitly pass out_cap=0 bypass the first layer of protection.",out_cap=0 via direct call,returns 0 or garbage instead of negative error code,zero-cap output buffer test
B003b_CODEC,codec,trap,L3,"Both output size guards removed (codec.c AND web_api.c). Any call with an undersized buffer immediately writes out-of-bounds. Normal hexEncode() from app.js is also at risk if allocation arithmetic is ever wrong.",undersized buffer,Wasm trap on any undersized call,undersized-buffer B003 detector / zero-cap B003 detector / no-trap tests for hi and long input
B004_CODEC,codec,null-deref,L3,"Null-pointer checks removed from codec_hex_encode. Passing a NULL input pointer with in_len>0 or a NULL output pointer with out_cap>0 causes a Wasm memory access at address 0 → immediate trap.",null in pointer with in_len=1,Wasm trap / pageerror,hexEncode(A)=41 (any call that reaches the loop)
B005_CODEC,codec,logic,L3,"Wrong nibble mask for high nibble: `(b >> 4) & 0xF` changed to `(b >> 4) & 0xFF`. The shift already discards the low nibble so this is a no-op for values ≤ 0x0F, but for b ≥ 0x10 it produces indices 16–255 into the 16-byte HEX table, reading undefined memory and corrupting output.",hi (h=0x68),high nibble index out of range → garbage hex chars,hexEncode(hi)=6869 / hexEncode(ABC)=414243
B006_CODEC,codec,format,L3,"Uppercase HEX table: HEX[] changed from '0123456789abcdef' to '0123456789ABCDEF'. All nibbles ≥ 0xA are uppercased. Inputs with bytes < 0xA0 in their low nibble appear unaffected; inputs with any nibble ≥ 0xA expose the bug.",é (0xC3 0xA9),output=C3A9 instead of c3a9,lowercase-hex-only format tests / hexEncode(é)=c3a9
B007_CODEC,codec,logic,L3,"Wrong out_len assignment: `*out_len = out_cap` instead of `*out_len = need`. web_api.c then null-terminates at out_cap instead of the correct position, corrupting or truncating the output string.",hello,output string is garbage-terminated or empty,hexEncode(hello)=68656c6c6f / output-length tests
B008_CODEC,codec,marshaling,L3,utf8_byte_len counts bytes not codepoints — passes character count instead of byte count to encoder,e-acute U+00E9,codepoint_count_wrong,hexEncode(é)=c3a9 / hexEncode(你好)=e4bda0e5a5bd
CLEAN_PARSER,parser,none,L1,No bug — baseline clean build,hello,field=hello,all native parser tests pass
Q001_PARSER,parser,boundary,L1,null-term writes one byte past field_cap — off-by-one in null terminator placement,1-byte field in 1-byte buffer,buffer_overwrite,native GTest boundary tests
Q002_PARSER,parser,logic,L1,no pos advance after unquoted field — parser re-reads the same field on every call,a comma b,re-reads same field,native GTest parser logic tests
Q003_PARSER,parser,trap,L1,missing null check on in_pos — derefs null pointer causing crash,null in_pos,crash_or_trap,native GTest null-check tests
Q004_PARSER,parser,runtime,L1,ignores closing quote of quoted field — trailing quote included in field content,"abc",extra_quote_in_content,native GTest quoted-field tests
CLEAN_STATS,stats,none,L1,No bug — baseline clean build,{1 2 3},sum=6,all native stats tests pass
S001_STATS,stats,logic,L1,int32 accumulator overflows on large sum — no overflow guard,{INT32_MAX 1},silent_integer_overflow,native GTest overflow tests
S002_STATS,stats,boundary,L1,mean divides by n-1 instead of n — fencepost error in denominator,{1.0 2.0 3.0},mean=3.0_instead_of_2.0,native GTest mean tests
S003_STATS,stats,trap,L1,missing null check on array in stats_min_i32 — derefs null array pointer,null array n=1,crash_or_trap,native GTest null-check tests
S004_STATS,stats,runtime,L1,dot_f32 only processes first n/2 elements — loop bound is halved,"{1 2 3 4} dot {1 1 1 1}",result=3_instead_of_10,native GTest dot-product tests
